ts,black_profile,white_profile,winner,result,moves,seconds,visits,komi,sgf,error,handicap
2026-09-12 19:24:00,preaz_10k,preaz_5k,W,W+26.5,320,186.7,40,7.5,g00012_preaz_10k_vs_preaz_5k.sgf,,0
2026-09-12 19:25:59,rank_5k,rank_1d,W,W+R,187,115.0,40,7.5,g00014_rank_5k_vs_rank_1d.sgf,,0
2026-09-12 19:27:06,preaz_15k,preaz_20k,W,W+R,145,92.0,40,7.5,g00015_preaz_15k_vs_preaz_20k.sgf,,0
2026-09-12 19:27:54,preaz_10k,preaz_15k,B,B+R,146,85.5,40,7.5,g00016_preaz_10k_vs_preaz_15k.sgf,,0
2026-09-12 19:28:39,preaz_10k,preaz_5k,W,W+R,145,92.1,40,7.5,g00017_preaz_10k_vs_preaz_5k.sgf,,0
2026-09-12 19:29:19,rank_1d,rank_3d,W,W+R,193,130.6,40,7.5,g00018_rank_1d_vs_rank_3d.sgf,,0
2026-09-12 19:30:11,preaz_5k,preaz_15k,B,B+R,146,91.6,40,7.5,g00019_preaz_5k_vs_preaz_15k.sgf,,0
2026-09-12 19:31:42,preaz_5k,preaz_10k,B,B+R,152,102.5,40,7.5,g00021_preaz_5k_vs_preaz_10k.sgf,,0
2026-09-12 19:31:30,preaz_15k,preaz_20k,B,B+R,146,115.5,40,7.5,g00020_preaz_15k_vs_preaz_20k.sgf,,0
2026-09-12 19:33:25,rank_1k,preaz_1k,B,B+R,146,109.9,40,7.5,g00022_rank_1k_vs_preaz_1k.sgf,,0
2026-09-12 19:33:26,rank_1d,rank_1k,B,B+R,324,184.8,40,7.5,g00023_rank_1d_vs_rank_1k.sgf,,0
2026-09-12 19:35:15,rank_3d,rank_5d,W,W+20.5,273,162.4,40,7.5,g00024_rank_3d_vs_rank_5d.sgf,,0
2026-09-12 19:36:30,rank_1d,rank_3d,W,W+R,215,115.3,40,7.5,g00025_rank_1d_vs_rank_3d.sgf,,0
2026-09-12 19:38:26,rank_1d,rank_5k,B,B+R,146,99.1,40,7.5,g00027_rank_1d_vs_rank_5k.sgf,,0
